task_id	objetivo	fase	dimension	titulo	descripcion	problema	tipo_tarea	prioridad	riesgo	estado	requiere_autorizacion	permitido_ahora	salida_esperada	esfuerzo_humano	esfuerzo_tecnico	coste_financiero	siguiente_paso	origen_mejora
OBS-TASK-014	ENGREMIAT_SYSTEM_OBSERVER_001	E06	growth	Control de crecimiento documental	Crear indices latest, resumen compacto, limpieza segura de temporales y detector de duplicados sin borrar nada automaticamente	Volumen alto de json, markdown, ps1 y reports	PENDING_GATE_TASK	HIGH	HIGH	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM	MEDIUM_HIGH	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-901-GROWTH-CONTROL
OBS-TASK-013	ENGREMIAT_SYSTEM_OBSERVER_001	E06	documentation	Manual vivo consolidado	Crear manual vivo regenerable por secciones: uso humano, arquitectura, limites, operaciones, workers, financiacion y tareas	Mucho conocimiento disperso en reports, markdown y scripts	DOCUMENTATION_TASK	HIGH	HIGH	READY_READONLY	False	readonly_or_documentation	manual_or_document_update	LOW_MEDIUM	LOW_MEDIUM	LOW_OR_NONE	can_be_grouped_in_readonly_observer_work	IMP-900-MANUAL-CONSOLIDATION
OBS-TASK-005	ENGREMIAT_SYSTEM_OBSERVER_001	E06	financing	Financiacion	crear presupuesto operativo, costes por hardware/software/humano y necesidades de financiacion	dimension financiera sin evidencias estructuradas todavia	FINANCIAL_PLANNING_TASK	HIGH	HIGH	READY_READONLY	False	readonly_or_documentation	financial_planning_template	MEDIUM	MEDIUM	TO_ESTIMATE	can_be_grouped_in_readonly_observer_work	IMP-005-FINANCING
OBS-TASK-010	ENGREMIAT_SYSTEM_OBSERVER_001	E06	growth	Crecimiento y deuda	crear limpieza, indices latest y compactacion de evidencias	crecimiento documental alto; riesgo de ruido, duplicados y dificultad de busqueda	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM_HIGH	MEDIUM_HIGH	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-010-GROWTH
OBS-TASK-003	ENGREMIAT_SYSTEM_OBSERVER_001	E06	hardware	Hardware	crear inventario hardware por nodo main/legacy/raspberry/mobile	diagnostico hardware aun superficial; falta leer perfiles y limites por nodo	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM	MEDIUM	TO_ESTIMATE	prepare_canonical_action_preview_later	IMP-003-HARDWARE
OBS-TASK-015	ENGREMIAT_SYSTEM_OBSERVER_001	E06	operations	Puente observer a runtime canonico	Preparar conversion mejora -> tarea -> paquete de accion canonica -> preview -> gate humano	Las mejoras aun no se convierten en acciones canonicas gobernadas	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM	MEDIUM_HIGH	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-902-RUNTIME-ACTION-BRIDGE
OBS-TASK-002	ENGREMIAT_SYSTEM_OBSERVER_001	E06	software	Software	ampliar evidencias de la dimension	volumen alto de scripts PowerShell; riesgo de duplicacion y deuda tecnica	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM_HIGH	MEDIUM_HIGH	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-002-SOFTWARE
OBS-TASK-009	ENGREMIAT_SYSTEM_OBSERVER_001	E06	workers	Workers e IA	usar IA local solo como worker interpretativo despues de diagnostico determinista	workers/Ollama/Cline no integrados al observer todavia	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM	MEDIUM	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-009-WORKERS
OBS-TASK-004	ENGREMIAT_SYSTEM_OBSERVER_001	E06	humans	Humanos	medir friccion humana por numero de pasos, Enter/clicks y gates	aun no existe metrica automatica de carga humana	READONLY_ANALYSIS_TASK	MEDIUM	MEDIUM	READY_READONLY	False	readonly_or_documentation	readonly_report	LOW_MEDIUM	LOW_MEDIUM	LOW_OR_NONE	can_be_grouped_in_readonly_observer_work	IMP-004-HUMANS
OBS-TASK-001	ENGREMIAT_SYSTEM_OBSERVER_001	E06	architecture	Arquitectura	usar runtime canonico para convertir mejoras en acciones gobernadas	Sin riesgo principal detectado en v0	PENDING_GATE_TASK	LOW	LOW	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM_HIGH	MEDIUM_HIGH	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-001-ARCHITECTURE
OBS-TASK-012	ENGREMIAT_SYSTEM_OBSERVER_001	E06	operations	Operacion diaria	crear comando diario observer: estado, diagnostico, manual, tareas	Sin riesgo principal detectado en v0	PENDING_GATE_TASK	LOW	LOW	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	LOW_MEDIUM	LOW_MEDIUM	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-012-OPERATIONS
OBS-TASK-008	ENGREMIAT_SYSTEM_OBSERVER_001	E06	ux	UX operador	insertar ruta interactiva real runtime/acciones en menu principal	hook actual es marcador, no navegacion profunda final	PENDING_GATE_TASK	LOW	LOW	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	MEDIUM_HIGH	MEDIUM_HIGH	LOW_OR_NONE	prepare_canonical_action_preview_later	IMP-008-UX
OBS-TASK-006	ENGREMIAT_SYSTEM_OBSERVER_001	E06	documentation	Documentacion	generar manual vivo desde evidencias cerradas	mucho markdown sin manual vivo consolidado puede dispersar conocimiento	DOCUMENTATION_TASK	LOW	LOW	READY_READONLY	False	readonly_or_documentation	manual_or_document_update	LOW_MEDIUM	LOW_MEDIUM	LOW_OR_NONE	can_be_grouped_in_readonly_observer_work	IMP-006-DOCUMENTATION
OBS-TASK-011	ENGREMIAT_SYSTEM_OBSERVER_001	E06	governance	Gobernanza	crear tablero de decisiones y prioridades desde reports	Sin riesgo principal detectado en v0	READONLY_ANALYSIS_TASK	LOW	LOW	READY_READONLY	False	readonly_or_documentation	readonly_report	LOW_MEDIUM	LOW_MEDIUM	LOW_OR_NONE	can_be_grouped_in_readonly_observer_work	IMP-011-GOVERNANCE
OBS-TASK-007	ENGREMIAT_SYSTEM_OBSERVER_001	E06	security	Seguridad y limites	convertir politicas en validador automatico por objetivo	Sin riesgo principal detectado en v0	READONLY_ANALYSIS_TASK	LOW	LOW	READY_READONLY	False	readonly_or_documentation	readonly_report	LOW_MEDIUM	LOW_MEDIUM	LOW_OR_NONE	can_be_grouped_in_readonly_observer_work	IMP-007-SECURITY
