task_id	source_improvement_id	dimension	title	task_type	priority	risk	status	requires_authorization	allowed_now	expected_output	next_step
OBS-TASK-001	IMP-001-ARCHITECTURE	architecture	Arquitectura	PENDING_GATE_TASK	LOW	LOW	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-002	IMP-002-SOFTWARE	software	Software	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-003	IMP-003-HARDWARE	hardware	Hardware	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-004	IMP-004-HUMANS	humans	Humanos	READONLY_ANALYSIS_TASK	MEDIUM	MEDIUM	READY_READONLY	False	readonly_or_documentation	readonly_report	can_be_grouped_in_readonly_observer_work
OBS-TASK-005	IMP-005-FINANCING	financing	Financiacion	FINANCIAL_PLANNING_TASK	HIGH	HIGH	READY_READONLY	False	readonly_or_documentation	financial_planning_template	can_be_grouped_in_readonly_observer_work
OBS-TASK-006	IMP-006-DOCUMENTATION	documentation	Documentacion	DOCUMENTATION_TASK	LOW	LOW	READY_READONLY	False	readonly_or_documentation	manual_or_document_update	can_be_grouped_in_readonly_observer_work
OBS-TASK-007	IMP-007-SECURITY	security	Seguridad y limites	READONLY_ANALYSIS_TASK	LOW	LOW	READY_READONLY	False	readonly_or_documentation	readonly_report	can_be_grouped_in_readonly_observer_work
OBS-TASK-008	IMP-008-UX	ux	UX operador	PENDING_GATE_TASK	LOW	LOW	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-009	IMP-009-WORKERS	workers	Workers e IA	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-010	IMP-010-GROWTH	growth	Crecimiento y deuda	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-011	IMP-011-GOVERNANCE	governance	Gobernanza	READONLY_ANALYSIS_TASK	LOW	LOW	READY_READONLY	False	readonly_or_documentation	readonly_report	can_be_grouped_in_readonly_observer_work
OBS-TASK-012	IMP-012-OPERATIONS	operations	Operacion diaria	PENDING_GATE_TASK	LOW	LOW	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-013	IMP-900-MANUAL-CONSOLIDATION	documentation	Manual vivo consolidado	DOCUMENTATION_TASK	HIGH	HIGH	READY_READONLY	False	readonly_or_documentation	manual_or_document_update	can_be_grouped_in_readonly_observer_work
OBS-TASK-014	IMP-901-GROWTH-CONTROL	growth	Control de crecimiento documental	PENDING_GATE_TASK	HIGH	HIGH	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
OBS-TASK-015	IMP-902-RUNTIME-ACTION-BRIDGE	operations	Puente observer a runtime canonico	PENDING_GATE_TASK	MEDIUM	MEDIUM	PENDING_HUMAN_GATE	True	proposal_only	canonical_action_proposal_after_human_gate	prepare_canonical_action_preview_later
