priority	file	options	legacy_numbers	score	parse_ok	has_route	has_role	has_principle
HIGH_PRIORITY	tools\launcher\ENGREMIAT-DATA-INTAKE-CENTER.ps1	14	2	75	True	True	True	False
HIGH_PRIORITY	tools\launcher\ENGREMIAT-INICIO.ps1	57	12	90	True	True	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-INICIO-STATUS.ps1	0	0	30	True	True	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-LAUNCHER-ACTUAL.ps1	0	0	40	True	True	False	False
HIGH_PRIORITY	tools\launcher\ENGREMIAT-MEMORY-DOCUMENTATION-CENTER.ps1	28	8	90	True	True	False	False
REFERENCE_NORMALIZED	tools\launcher\ENGREMIAT-MEMORY-DOCUMENTATION-CENTER-NORMALIZED.ps1	31	0	40	True	True	True	True
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-NAVIGATION-AUDIT.ps1	0	0	45	True	False	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-NAVIGATION-SAFE.ps1	0	0	40	True	False	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-NAVIGATION-TREE.ps1	0	0	45	True	False	False	False
HIGH_PRIORITY	tools\launcher\ENGREMIAT-NAVIGATION-VIEWER.ps1	11	5	100	True	False	False	False
HIGH_PRIORITY	tools\launcher\ENGREMIAT-PROJECT-DIARY-ADD.ps1	0	0	55	True	False	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-PROJECT-MEMORY.ps1	0	0	35	True	False	True	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-PROJECT-MEMORY-GENERATE.ps1	0	0	35	True	False	True	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-PROJECT-MEMORY-SAFE.ps1	0	0	40	True	False	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-SELECT-MODULE-CARDS.ps1	0	0	45	True	False	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-SELECT-MODULE-SAFE.ps1	0	0	40	True	False	False	False
MEDIUM_PRIORITY	tools\launcher\ENGREMIAT-SELECT-MODULE-WORKSPACE.ps1	0	0	45	True	False	False	False
LOW_PRIORITY	tools\launcher\templates\ENGREMIAT-CANONICAL-SCREEN-TEMPLATE.ps1	2	0	10	True	True	True	True
