card_id	title	description	system_area	priority	risk	automation_level	required_adapter	required_node	related_skill	input	output	validation	evidence	next
SYSTEM_NEED_001	Arquitectura Obsidian visible	Ordenar ENGREMIAT en boveda global y bovedas dedicadas para que humano e IA naveguen el sistema sin depender de conversaciones largas.	vaults	Alta	LOW	ASSISTED	OBSIDIAN	NONE	NONE	bundles, manuales, reports y mapas existentes	mapa maestro, fichas de bovedas e indices Obsidian	validar existencia de HOME, ESTADO, NEXT, indices y bundles	obsidian architecture report	mantener mapa global actualizado
SYSTEM_NEED_002	Backlog vivo de necesidades	Convertir necesidades, bloqueos y mejoras recurrentes en tarjetas vivas dentro de KANBAN_BACKLOG.	kanban	Alta	MEDIUM	ASSISTED	KANBAN	NONE	NONE	reports, errores, decisiones NEXT y aportes humanos	tarjetas SYSTEM_NEEDS clasificadas por area, prioridad, riesgo y automatizacion	validar 25 tarjetas, indices y bundle de backlog	SYSTEM_NEEDS_INDEX y AUTOANALYSIS_REPORT	revisar prioridades humanas
SYSTEM_NEED_003	Autoanalisis de backlog	Crear un flujo que detecte necesidades nuevas, tarjetas obsoletas y candidatos de automatizacion sin aplicar cambios reales.	kanban	Alta	MEDIUM	SEMI_AUTOMATED	POWERSHELL	NONE	NONE	reports recientes, gates, errores, bundles y estados	DETECTED_NEEDS, STALE_CARDS y REFRESH_PROPOSAL	ejecutar solo en modo propuesta y validar con gate humano	AUTOANALYSIS_REPORT	crear refresh controlado
SYSTEM_NEED_004	Bundles limpios para Ollama	Separar el contexto global en bundles tematicos pequeños para que Ollama y OpenWebUI consulten sin ruido.	ollama	Alta	LOW	ASSISTED	OPENWEBUI	MAIN_PC	SKILL_ESTADO_ENGREMIAT	boveda global, manuales y registries	bundles por capa: global, reglas, kanban, skills, workers, modulos y next	validar que cada bundle no contiene instrucciones de ejecucion real	GLOBAL_OVERVIEW_BUNDLE y derivados	probar consulta en OpenWebUI
SYSTEM_NEED_005	Registry de skills OpenWebUI	Mantener skills oficiales y candidatas con prompt, test, estado y evidencia PASS antes de usarlas como memoria operativa.	skills	Alta	LOW	ASSISTED	OPENWEBUI	MAIN_PC	SKILL_CAPTURE_TO_CANDIDATE	skills oficiales, candidatas y pruebas manuales	SKILLS_INDEX, OFFICIAL_SKILLS y bundles importables	validar status oficial y prueba manual	OPENWEBUI_SKILLS vault	preparar siguiente skill registry
SYSTEM_NEED_006	Governance de gates humanos	Centralizar reglas de decision humana para cualquier accion sensible como worker real, apply, git, red, OpenClaw o escritura Kanban real.	core	Alta	HIGH	ASSISTED	OBSIDIAN	NONE	NONE	gates existentes, policies y manuales	GATES_AND_SECURITY y HUMAN_AUTHORIZATIONS actualizados	validar que no hay accion real sin APPROVE explicito	gate reports y governance docs	crear indice de gates activos
SYSTEM_NEED_007	Worker adapters gobernados	Ordenar Cline, Ollama, OpenWebUI y OpenClaw como adapters con contratos, limites y receipts, no como autoridad del sistema.	adapters	Alta	HIGH	ASSISTED	OBSIDIAN	MAIN_PC	NONE	manuales worker, adapter contracts y policies	WORKERS_AND_ADAPTERS vault con fichas y contratos	validar flags auto_apply=false, git_write=false, remote_execution=false	controlled-worker reports	crear mapa de adapters
SYSTEM_NEED_008	Cline proposal-only	Mantener Cline como worker de propuesta revisable, sin apply, sin git write y sin ejecucion libre.	cline	Alta	HIGH	SEMI_AUTOMATED	CLINE	MAIN_PC	NONE	prompts, task candidates y proposal contracts	flujo proposal-only con captura, normalizacion y review	validar que no hay source_write_by_worker ni auto_apply	cline proposal reports	preparar prueba proposal-only segura
SYSTEM_NEED_009	Ollama consulta local segura	Usar Ollama como razonador local sobre bundles limpios sin convertirlo en ejecutor ni darle contexto excesivo.	ollama	Alta	MEDIUM	ASSISTED	OLLAMA	MAIN_PC	SKILL_ESTADO_ENGREMIAT	bundles tematicos y policies Ollama	consultas locales controladas y respuestas resumidas	validar no network, no model pull no autorizado, no apply	ollama readiness reports	probar pregunta de estado global
SYSTEM_NEED_010	OpenWebUI Knowledge Base	Organizar bundles, colecciones y skills en OpenWebUI para consulta humana y local-first.	openwebui	Alta	LOW	ASSISTED	OPENWEBUI	MAIN_PC	SKILL_ESTADO_ENGREMIAT	GLOBAL_IMPORT_BUNDLE y bundles derivados	colecciones OpenWebUI por capa funcional	validar importacion manual y consulta de estado	OpenWebUI skill reports	crear pack de importacion limpio
SYSTEM_NEED_011	Module Registry navegable	Transformar los 229 modulos oficializados en indices Obsidian por tipo, estado, capacidad, riesgo y reutilizacion.	bundles	Alta	MEDIUM	ASSISTED	OBSIDIAN	NONE	NONE	data/_OFFICIAL_MODULES y official-modules-index	MODULE_REGISTRY vault con vistas por familia y capacidad	validar conteos, modulos invalidos y enlaces	official modules index	crear indice por familias
SYSTEM_NEED_012	Resource Library reusable	Crear una biblioteca de recursos reutilizables: plantillas, manuales, workflows, schemas, dashboards, prompts y procesos.	resources	Media	LOW	ASSISTED	OBSIDIAN	NONE	NONE	manuales y artefactos repetibles	RESOURCE_LIBRARY con taxonomia y bundles de recursos	validar clasificacion por tipo y reutilizacion	resource library index	crear primera taxonomia
SYSTEM_NEED_013	Visual Memory operativa	Conectar eventos, dashboards, mapas, decisiones, gates y evidencias para continuidad humano-maquina.	visual_memory	Alta	MEDIUM	ASSISTED	OBSIDIAN	NONE	NONE	ENGREMIAT_MEMORY, reports y eventos JSONL	VISUAL_MEMORY vault con mapas y estado navegable	validar eventos, mapas y dashboard	visual memory reports	actualizar mapa de memoria
SYSTEM_NEED_014	Plan to Worker como puente	Ordenar el flujo plan, seleccion de paso, prompt worker, inbox, evidencia y decision humana.	adapters	Media	MEDIUM	ASSISTED	POWERSHELL	MAIN_PC	NONE	plan-normalized, selected-step y worker-context	paquete worker reproducible y dashboard plan-to-worker	validar que worker_real_execution=false por defecto	plan-to-worker reports	conectar con Kanban Backlog
SYSTEM_NEED_015	Prompt Factory local	Generar prompts operativos desde plan, estado y memoria sin depender de conversaciones largas.	cline	Media	MEDIUM	ASSISTED	POWERSHELL	MAIN_PC	NONE	plan, estado, contexto y errores	PROMPT_NEXT, PROMPT_REPAIR y ACTIVE_PROMPT	validar limites, archivos permitidos y criterio GO/NO_GO	prompt factory reports	actualizar prompt templates
SYSTEM_NEED_016	Evidence First universal	Garantizar que todo cierre tenga report, manifest, receipt, checksum o evidencia verificable.	core	Alta	LOW	ASSISTED	POWERSHELL	NONE	NONE	reports, manifests y receipts	indice de evidencias por objetivo y bloque	validar presencia de artefactos minimos antes de PASS	evidence indexes	crear validador de evidencia
SYSTEM_NEED_017	Estado y NEXT global	Mantener ESTADO_GLOBAL y NEXT_GLOBAL como entrada principal para humano, ChatGPT, Ollama y OpenWebUI.	core	Alta	LOW	ASSISTED	OBSIDIAN	NONE	SKILL_ESTADO_ENGREMIAT	close reports y decisiones next	estado global breve, next y riesgos activos	validar consistencia con ultimos reports	NEXT_GLOBAL y ESTADO_GLOBAL	sincronizar tras cada cierre
SYSTEM_NEED_018	Taxonomia YAML y tags	Normalizar type, status, risk, priority, automation_level, adapter_targets y tags en notas Obsidian.	vaults	Media	LOW	ASSISTED	OBSIDIAN	NONE	NONE	notas de bovedas y manuales	YAML_TAGS_TAXONOMY y plantillas de nota	validar campos minimos en notas criticas	taxonomy manual	crear validador YAML
SYSTEM_NEED_019	Grafo de relaciones	Crear una vision relacional entre proyectos, tarjetas, modulos, skills, bundles, gates, workers y evidencias.	visual_memory	Media	MEDIUM	SEMI_AUTOMATED	POWERSHELL	MAIN_PC	NONE	indices Obsidian y registros JSON	nodes, edges y mapa grafico local	validar nodos huerfanos y relaciones basicas	graph export reports	generar grafo local
SYSTEM_NEED_020	Dashboard humano Obsidian-Kanban	Crear vistas humanas para revisar arquitectura, backlog, gates, prioridades y siguientes acciones.	kanban	Media	LOW	ASSISTED	OBSIDIAN	NONE	NONE	indices y tarjetas del backlog	dashboard o canvas de control humano	validar legibilidad y enlaces clave	dashboard reports	crear vista de control
SYSTEM_NEED_021	Control de un solo escritor	Registrar que solo un PC o nodo escribe por objetivo o bloque para evitar conflictos entre MAIN-PC, old-pc y carpetas compartidas.	nodes	Alta	HIGH	ASSISTED	OBSIDIAN	MAIN_PC	NONE	manuales main-pc linking y node-link	policy de escritor activo y handoff seguro	validar writer activo antes de acciones reales	node-link reports	crear ficha de nodos
SYSTEM_NEED_022	OpenClaw adapter futuro	Mantener OpenClaw como adapter preparado pero diferido, sin gateway ni agente real hasta gate explicito.	adapters	Media	HIGH	BLOCKED	OPENCLAW_FUTURE	MAIN_PC	NONE	openclaw policy y contracts	ficha OpenClaw futura con limites y prerequisitos	validar gateway_active=false y agent_real_execution=false	openclaw prepared report	mantener diferido
SYSTEM_NEED_023	Controlled Apply reusable	Estandarizar scope, gate, dry-run, execution plan, receipt, postcheck y cierre para cualquier apply controlado.	core	Alta	HIGH	SEMI_AUTOMATED	POWERSHELL	MAIN_PC	NONE	controlled-action-template y instances	plantilla reusable de accion controlada	validar gate APPROVE + human_confirmation + execution_allowed	controlled action reports	crear indice de acciones controladas
SYSTEM_NEED_024	Errores recurrentes PowerShell	Mantener memoria de errores y reglas preventivas para scripts PowerShell, Git y JSON.	core	Alta	MEDIUM	ASSISTED	POWERSHELL	NONE	NONE	errores previos y playbooks	ERROR_PLAYBOOK actualizado y reglas activas	validar que nuevos scripts respetan reglas preventivas	error memory reports	actualizar playbook
SYSTEM_NEED_025	Cierre y handoff de contexto	Preparar paquetes de continuidad para cambiar de conversacion, PC o herramienta sin perder arquitectura ni estado.	bundles	Alta	LOW	ASSISTED	OBSIDIAN	NONE	SKILL_ESTADO_ENGREMIAT	estado, next, bundles y reports	continuation bundle y prompt de continuidad	validar que incluye estado, next, reglas y riesgos	GLOBAL_IMPORT_BUNDLE y memory bundle	generar bundle de continuidad
