score	files	dir	reason
250	1459	C:\ENGREMIAT_CORE\reports	
250	2582	C:\ENGREMIAT_CORE\data	
250	30016	C:\ENGREMIAT_CORE	
124	4	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master	dir_name
124	4	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2	dir_name
123	3	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2	dir_name
123	3	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2	dir_name
122	2	C:\ENGREMIAT_CORE\reports\template-improvement\e08i-sandbox-project-v2	dir_name
121	1	C:\ENGREMIAT_CORE\reports\template-improvement\e08f2-staging-v2-designed	dir_name
