score	name	path	reason
750	eng-context.ps1	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1	desktop_operator_path,eng_context,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar,historico,activo,operator_state
610	eng-context.ps1.bak-e07q-20260619203927	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07q-20260619203927	desktop_operator_path,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar,historico,activo
610	eng-context.ps1.bak-e07u-20260619205129	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07u-20260619205129	desktop_operator_path,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar,historico,activo
610	eng-context.ps1.bak-e07t-20260619204920	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07t-20260619204920	desktop_operator_path,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar,historico,activo
610	eng-context.ps1.bak-e08e-20260619210644	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e08e-20260619210644	desktop_operator_path,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar,historico,activo
610	eng-context.ps1.bak-20260619-210847	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-20260619-210847	desktop_operator_path,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar,historico,activo
490	eng-context.ps1.bak-e08d-20260619210531	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e08d-20260619210531	desktop_operator_path,abrir_proyecto_view,proyectos_view,step_commands,numero_entrar
480	Start-EngremiatDesktopOperator.ps1	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1	desktop_operator_path,terminal_title,global_menu_3,operator_state
460	eng-context.ps1.bak-e07j-20260619201635	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07j-20260619201635	desktop_operator_path,abrir_proyecto_view,proyectos_view,historico,activo
460	eng-context.ps1.bak-e07k-20260619202304	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07k-20260619202304	desktop_operator_path,abrir_proyecto_view,proyectos_view,historico,activo
460	eng-context.ps1.bak-e07j-20260619200022	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07j-20260619200022	desktop_operator_path,abrir_proyecto_view,proyectos_view,historico,activo
430	eng-projects-manager.ps1	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-projects-manager.ps1	desktop_operator_path,proyectos_view,numero_entrar,historico,activo,operator_state
420	Start-EngremiatDesktopOperator.ps1.bak-e06b-20260619193803	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e06b-20260619193803	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e06a-20260619193448	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e06a-20260619193448	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e05k-20260619193108	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e05k-20260619193108	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e06c-20260619194021	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e06c-20260619194021	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07c-20260619195001	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07c-20260619195001	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07w-20260619205327	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07w-20260619205327	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e06d-20260619194157	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e06d-20260619194157	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07x-20260619205406	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07x-20260619205406	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e08e-20260619210644	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e08e-20260619210644	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07b-20260619194543	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07b-20260619194543	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e05d-20260619191856	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e05d-20260619191856	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e05h-20260619192655	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e05h-20260619192655	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e05g-repair-20260619192556	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e05g-repair-20260619192556	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e05g-20260619192505	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e05g-20260619192505	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07e-20260619195207	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07e-20260619195207	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07p-20260619203655	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07p-20260619203655	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07o-20260619203542	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07o-20260619203542	desktop_operator_path,terminal_title,global_menu_3
420	Start-EngremiatDesktopOperator.ps1.bak-e07n-20260619203330	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\Start-EngremiatDesktopOperator.ps1.bak-e07n-20260619203330	desktop_operator_path,terminal_title,global_menu_3
